SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,
 Account Receivable & Prepayments ,471805153,DENNIS PAYUYO ASUNCION - CA - 2186, (57), -   , -   , (57),,,,,
 Account Receivable & Prepayments ,472900833,KHALED YOUSEF - CA - 2076, 106 , -   , -   , 106 ,,,,,
 Account Receivable & Prepayments ,481201548,HUSSEIN SADEK - CA - 2023," 1,801 ", -   , -   ," 1,801 ",,,,,
 Account Receivable & Prepayments ,481202306,MUJEEB PARKER HASSAN - CA - 2133, 5 , -   , -   , 5 ,,,,,
 Account Receivable & Prepayments ,481402111,YAHIA ZAKARIYA FAHME - CA - 2021, (307), -   , -   , (307),,,,,
 Account Receivable & Prepayments ,481502923,MAHMOUD HAMADA YOUSEEF - CA - 2078, (260), -   , -   , (260),,,,,
 Account Receivable & Prepayments ,481701353,MOHAMAD ABD AL AZEEM - CA - 2055, 20 , -   , -   , 20 ,,,,,
 Account Receivable & Prepayments ,481702675,EMAD ALI MOHAMED IBRAHIM - CA - 2210, 2 , -   , -   , 2 ,,,,,
 Account Receivable & Prepayments ,490902084,Rohan Chaminda Werasekara Dindubabduge - CA - 2150, 1 , -   , -   , 1 ,,,,,
 Account Receivable & Prepayments ,492602317,RAGEH OSMAN MOHAMD FADEL - CA - 2239, 2 , -   , -   , 2 ,,,,,
 Account Receivable & Prepayments ,522204694,HAMDI RADWAN - WHS - 4033, (9), -   , -   , (9),,,,,
 Account Receivable & Prepayments ,522502791,ZULFIQAR ALI HUSSAIN ASHIQ - WHS - 4030," 1,009 ", -   , -   ," 1,009 ",,,,,
 Account Receivable & Prepayments ,522602621,ADEEL KAMES ABDUSALAM - WHS - 4009, (4), -   , -   , (4),,,,,
 Account Receivable & Prepayments ,530901988,ANWAR ABDEL HADE - WHS - 3007, 17 , -   , -   , 17 ,,,,,
 Account Receivable & Prepayments ,531603465,SHENAMADY BASHER MOH - WHS - 4007," (3,816)", -   , -   ," (3,816)",,,,,
 Account Receivable & Prepayments ,560114109,EJAZ TAHIR SANGE - WHS - 4053, 12 , -   , -   , 12 ,,,,,
 Account Receivable & Prepayments ,570402103,GADDAM VITTAL DAS - WHS - 4056, (99), -   , -   , (99),,,,,
 Account Receivable & Prepayments ,582701929,MAJEED DAWOOD ALEKAR - WHS - 4032, 171 , -   , -   , 171 ,,,,,
 Account Receivable & Prepayments ,583102392,MOSTAFA MAHDY - WHS - 4022, 44 , -   , -   , 44 ,,,,,
 Account Receivable & Prepayments ,592801307,MOTAMED ELSAYED MOHAMED MOHAMED -CPD - 2247, (89), -   , -   , (89),,,,,
 Account Receivable & Prepayments ,592801315,GHAREEB ALSAYED MAHMOUD MURSI ABU ALELA  - 3020, 100 , -   , -   , 100 ,,,,,
 Account Receivable & Prepayments ,592801323,RONNIE NALAM - 2280, 1 , -   , -   , 1 ,,,,,
 Account Receivable & Prepayments ,592801330,RUSSEL FRANCISCO  - 2279, 0 , -   , -   , 0 ,,,,,
 Account Receivable & Prepayments ,592801332,JAMAL ABDOH KAREEM MOHAMMAD  - 2289, (140), -   , -   , (140),,,,,
 Account Receivable & Prepayments ,592801334,SANJAY KUMAR NIRMAL ASHRAFI LAL  - 2303, (0), -   , -   , (0),,,,,
 Account Receivable & Prepayments ,592801337,WAEL ABDULMOHSEN ABDULKAREEM AMMAR  - 2305, (0), -   , -   , (0),,,,,
 Account Receivable & Prepayments ,592801339,ABDUL JABBAR KUNHALAKATH CHERIYABAVA - 2360, (99), -   , -   , (99),,,,,
 Account Receivable & Prepayments ,592801340,NISHAD MANDALI KUNDIL - 2367, (200), -   , -   , (200),,,,,
 Account Receivable & Prepayments ,592801343,SAJJAD NASRUDDIN ISMIL WALELY  - 4068, (25), -   , -   , (25),,,,,
 Account Receivable & Prepayments ,592801345,PAULO TABASA - 2266, (199), -   , -   , (199),,,,,
 Account Receivable & Prepayments ,592801354,RAMADHAN ALSHERBEENI RAMADHAN MOHAMMAD -2343," 1,248 ", -   , -   ," 1,248 ",,,,,
 Account Receivable & Prepayments ,592801361,JAIGEE JOHN 4089, 76 , -   , -   , 76 ,,,,,
 Account Receivable & Prepayments ,592801368,SIKANDAR TAJUDDIN HALDE  - 2320, 0 , -   , -   , 0 ,,,,,
 Account Receivable & Prepayments ,592801369,RAFI SYED SYED JAFAR - 4079, (31), -   , -   , (31),,,,,
 Account Receivable & Prepayments ,592801371,ALI ABDULJAWAD ALI MOHAMMAD - 2378, (75), -   , -   , (75),,,,,
 Account Receivable & Prepayments ,592801380,MOHAMED SAIED HAMADY SAIED-2356, (110), -   , -   , (110),,,,,
 Account Receivable & Prepayments ,592801384,Mostafa Ibrahim Mursi Ata - 2370, 35 , -   , -   , 35 ,,,,,
 Account Receivable & Prepayments ,592801385,Shabeer Kunnumpurath - 2393, (85), -   , -   , (85),,,,,
 Account Receivable & Prepayments ,592801388,Shehata Shawky Mohamed Yossef  - 2374, (219), -   , -   , (219),,,,,
 Account Receivable & Prepayments ,592801397,Mohamedu Illiyas  - 2357, (112), -   , -   , (112),,,,,
 Account Receivable & Prepayments ,592801399,Veera Venkata Naga Srinu Tirumani   - 2408, (200), -   , -   , (200),,,,,
 Account Receivable & Prepayments ,592801401,Mahmoud Ali Sadek Mahmoud  - 2404, 1 , -   , -   , 1 ,,,,,
 Account Receivable & Prepayments ,592801402,Mahmoud Mohamed Abdelkader Kwatin  - 2388, (35), -   , -   , (35),,,,,
 Account Receivable & Prepayments ,592801403,Ibrahim Abdelmoniem Ibrahim Abdelnaeim  - 2391, (150), -   , -   , (150),,,,,
 Account Receivable & Prepayments ,592801406,NAMEEM KHAN - CA - 2001342, (163), -   , -   , (163),,,,,
 Account Receivable & Prepayments ,592801407,Aly Eyd Milad Mabrouk  - 4085, (11), 20 , -   , 9 ,,,,,
 Account Receivable & Prepayments ,592801409,Ramya Hemanth Kumar  - 4099, 3 , -   , -   , 3 ,,,,,
 Account Receivable & Prepayments ,592801414,Saidalavi Pullathiyil  - 2382, (105), -   , -   , (105),,,,,
 Account Receivable & Prepayments ,592801418,Ashley D Souza - 2001362, (56), -   , -   , (56),,,,,
 Account Receivable & Prepayments ,592801425,Hani Mohamed Elsayed Elshahawy - 2399, (109), -   , -   , (109),,,,,
 Account Receivable & Prepayments ,592801427,Farah A Kh Khdair - 2001397, 175 , -   , -   , 175 ,,,,,
 Account Receivable & Prepayments ,592801428,HANI RAMADAN MAHMOUD AMIN - 2387, 50 , -   , -   , 50 ,,,,,
 Account Receivable & Prepayments ,592801429,EYOUN AHMED MOHAMED SAYED- 2001353, 3 , -   , -   , 3 ,,,,,
 Account Receivable & Prepayments ,592801432,SURYAVANSHI AALOK PRIYADARSHI DENISH - 2001004, 0 , -   , -   , 0 ,,,,,
 Account Receivable & Prepayments ,592801437,Saadoun Hashem Kayed Abbasi - 2001414," 1,000 "," 1,000 "," 1,000 "," 1,000 ",,,,,
 Account Receivable & Prepayments ,592801447,Hasan Salah Ahmed Faragallah - 2001356, 0 , -   , -   , 0 ,,,,,
 Account Receivable & Prepayments ,592801449,Mohamed Ali Hussain Kahil - 2001426 (c/o bassem)," 2,019 "," 2,000 "," 2,000 "," 2,019 ",,,,,
 Account Receivable & Prepayments ,592801450,Yahya Asakereh - 2001357, (330), -   , -   , (330),,,,,
 Account Receivable & Prepayments ,592801455,Dalya Ashraf Mokhtar Madyan  2001392, 115 , -   , -   , 115 ,,,,,
 Account Receivable & Prepayments ,592801460,SANESH SIVAN - 2001339, 450 , -   , -   , 450 ,,,,,
 Account Receivable & Prepayments ,592801462,BADER SULTAN," 1,180 ", -   , -   ," 1,180 ",,,,,
 Account Receivable & Prepayments ,592801466,ABDUL HAFEEZ KHDAIR 94095452 ROUTER, 280 , -   , -   , 280 ,,,,,
 Account Receivable & Prepayments ,592801467,RAJU N SUNKARA 97549160 ROUTER, 238 , -   , -   , 238 ,,,,,
 Account Receivable & Prepayments ,592801468,PIERRE E FARES - 2001372, 0 , -   , -   , 0 ,,,,,
 Account Receivable & Prepayments ,592801470,Mahmoud Musthafa Abdul Majid  - 2001315, (12), -   , 28 , (40),,,,,
 Account Receivable & Prepayments ,592801471,Mahmoud Kamal Mahmoud Abdelbaki 2001409, 140 , -   , -   , 140 ,,,,,
 Account Receivable & Prepayments ,592801472,Alaa Mohamad Thalaj Supply Chain 2001447, -   , 146 , 101 , 45 ,,,,,
 Account Receivable & Prepayments ,592801473,Hend Ahmad Alkurdi Supply Chain 2001440, -   , 84 , 84 , -   ,,,,,
 Account Receivable & Prepayments ,592801474,Nada Samir Abdelhamid Attallah FSD 2001404, -   , 105 , -   , 105 ,,,,,
 Account Receivable & Prepayments ,592801475,Ayman Rabiei Abdalla Mohamed 2001359, (90), -   , -   , (90),,,,,
 Account Receivable & Prepayments ,592801477,Mohammad Ali Subhi - 2001361, (58), -   , -   , (58),,,,,
 Account Receivable & Prepayments ,592801480,Mostafa Ahmed Mahmoud Abbas - 2001436, (96), -   , -   , (96),,,,,
 Account Receivable & Prepayments ,592801484,Denuwan Priyashanka - 2001382, (162), -   , -   , (162),,,,,
 Account Receivable & Prepayments ,592801485,Mizan Din Islam - 2001448, (27), -   , -   , (27),,,,,
 Account Receivable & Prepayments ,592801487,Mohammed Moutaz Costantini 2001005," 8,620 ", -   , 250 ," 8,370 ",,,,,
 Account Receivable & Prepayments ,592801493,Mahmoud Mohamed Ibrahim Ahmad - 2001280, 22 , -   , -   , 22 ,,,,,
 Account Receivable & Prepayments ,592801495,Shaaban Sabra Hussein Hassan - 2001454, (146), -   , -   , (146),,,,,
 Account Receivable & Prepayments ,592801498,Aries Minor Alvaro - 2001408, (80), -   , -   , (80),,,,,
 Account Receivable & Prepayments ,592801502,Anwar Aossain Ali Azzam - 2001561, (30), -   , -   , (30),,,,,
 Account Receivable & Prepayments ,592801506,Gangadhar  Janga Mallaiah -2001566, (100), -   , -   , (100),,,,,
 Account Receivable & Prepayments ,592801508,ElHassan Mohamed Kamel Mohamed - 2001472, (35), -   , -   , (35),,,,,
 Account Receivable & Prepayments ,592801509,Erwin Yanto Guevarra - 2001503, (100), -   , -   , (100),,,,,
 Account Receivable & Prepayments ,592801510,Ramadan Adel Hassan Ahmed - 2001483, (15), -   , -   , (15),,,,,
 Account Receivable & Prepayments ,592801511,Ahmed Awadalla Abduo Abdelrady - 2001595, (27), -   , -   , (27),,,,,
 Account Receivable & Prepayments ,592801512,MAHMOUD ABDUL MAJEED - 2001324, (100), -   , -   , (100),,,,,
 Account Receivable & Prepayments ,592801515,Rashwan Abdelgawwad Mohamed Rashwan -  2001567, (134), -   , -   , (134),,,,,
 Account Receivable & Prepayments ,592801517,MOSTAFA IBRAHIM MURSI ATA - 2001274, (70), -   , -   , (70),,,,,
 Account Receivable & Prepayments ,592801518,Ahmed Hamdy Fathy Hassan - 2001578, 5 , 20 , -   , 25 ,,,,,
 Account Receivable & Prepayments ,592801520,Yaser Azab A A Algarhi - 2001576, (214), -   , -   , (214),,,,,
 Account Receivable & Prepayments ,592801521,Rohit Kalal - 2001513, (100), -   , -   , (100),,,,,
 Account Receivable & Prepayments ,592801522,Hossam Assem Khattab Mohamed - 2001562, (35), -   , -   , (35),,,,,
 Account Receivable & Prepayments ,592801523,Eslam Abdelnaser Mohamed Elsoghair  -2001479, -   , 65 , 65 , -   ,,,,,
 Account Receivable & Prepayments ,592801525,MAHAMMED I SHAIK  - 2001613, (10), -   , -   , (10),,,,,
 Account Receivable & Prepayments ,592801527,Mahmmad Ismail Shaikh - 2001613, 5 , -   , -   , 5 ,,,,,
 Account Receivable & Prepayments ,592801528,Abdul Raheem Jad Abdul Radi - 2001592, 100 , -   , -   , 100 ,,,,,
 Account Receivable & Prepayments ,592801529,Hany Ibrahim Mahmoud Ibrahim - 2001581, (166), -   , -   , (166),,,,,
 Account Receivable & Prepayments ,592801530,Ronald Suliva Zubiri - 2001620, (8), -   , -   , (8),,,,,
 Account Receivable & Prepayments ,592801531,Nazih Ibrahim Kotb Ibrahim - 2001621, (18), -   , -   , (18),,,,,
 Account Receivable & Prepayments ,592801532,Ghezel Ghalib Hashim - 2001602, (199), -   , -   , (199),,,,,
 Account Receivable & Prepayments ,592801533,Ahmed Abdelhamid Attaya  - 2001591, (138), -   , -   , (138),,,,,
 Account Receivable & Prepayments ,592801534,Mahmoud Ahmed Salem Zaidan - 2001593, (138), -   , -   , (138),,,,,
 Account Receivable & Prepayments ,592801535,Biju Sankunni  Sankunni - 2001574, (164), -   , -   , (164),,,,,
 Account Receivable & Prepayments ,592801536,Karam Kamal Abdellatif Mohamed Selim - 2001619, (100), -   , -   , (100),,,,,
 Account Receivable & Prepayments ,592801538,Mohamed Abouelseoud Khairy Tawhid - 2001609, (35), -   , -   , (35),,,,,
 Inventories ,11140101,INVENTORY," 993,339 "," 506,572 "," 476,721 "," 1,023,190 ",,,,,
 Inventories ,11140102,Delivery Note But Not Invoice, (367)," 402,695 "," 402,695 ", (367),,,,,
 Inventories ,11140103,CUSTOM CHARGES," (3,084)"," 13,150 "," 12,954 "," (2,887)",,,,,
 Inventories ,11140104,Clearing Expenses," 11,736 "," 8,409 "," 8,427 "," 11,718 ",,,,,
 Inventories ,11140108,FRIGHT CHARGES, (283)," 2,116 "," 2,116 ", (283),,,,,
 Inventories ,11140109,INVENTORY PACKING," (7,544)"," 7,448 "," 9,553 "," (9,649)",,,,,
 Account payables and accruals ,11140112,DEMURRAGE-PORT/LINE, (73), -   , -   , (73),,,,,
 Inventories ,11140113,BANK CHARGE(L/C&POLICIES)," 7,497 ", 108 , 277 ," 7,328 ",,,,,
 Inventories ,11140114,INSURANCE CHARG," (22,386)", 961 , 739 ," (22,164)",,,,,
 Account payables and accruals ,11140115,UNLODING CHARG, (106), -   , -   , (106),,,,,
 Account payables and accruals ,11140117,UNPALETE CONTAINER, (127), -   , -   , (127),,,,,
 Account Receivable & Prepayments ,11140118,UNPALETE - FERRERO, (0), -   , -   , (0),,,,,
 Account Receivable & Prepayments ,11140120,STOCK TAKE DIFFERENCES ( VSM - MAIN, (69), -   , -   , (69),,,,,
 Inventories ,11140121,PROVISION FOR STOCK - CA," (46,500)", -   , -   ," (46,500)",,,,,
 Inventories ,11140122,PROVISION FOR STOCK - FSD," (40,732)", -   , -   ," (40,732)",,,,,
 Inventories ,11140201,GOODS IN TRANSIT, 1 ," 458,030 "," 447,794 "," 10,237 ",,,,,
 Property  and equipments ,11210101,BUILDING & WAREHOUSING," 938,115 ", -   , -   ," 938,115 ",,,,,
 Property  and equipments ,11210102,CARS," 662,890 ", -   , -   ," 662,890 ",,,,,
 Property  and equipments ,11210103,FURNITURES," 420,903 ", -   , -   ," 420,903 ",,,,,
 Property  and equipments ,11210104,OFFICE EQUIPMENTS," 645,347 ", -   , -   ," 645,347 ",,,,,
 Property  and equipments ,11210105,COMPUTERS," 279,878 ", 290 , -   ," 280,168 ",,,,,
 Property  and equipments ,11210106,MACHINARY, (0), -   , -   , (0),,,,,
 Account Receivable & Prepayments ,11210107,WORK IN PROGRESS, -   ," 35,000 ", -   ," 35,000 ",,,,,
 Property  and equipments ,11210108,LEASE HOLD LAND," 608,400 ", -   , -   ," 608,400 ",,,,,
 Property  and equipments ,11210301,ACCUMULATED DEPRECIATION ON BUILDING AND WAREHOUSE," (938,117)", -   , -   ," (938,117)",,,,,
 Property  and equipments ,11210302,ACCUMULATED  DEPRECIATION ON CARS," (650,245)", -   , 312 ," (650,557)",,,,,
 Property  and equipments ,11210303,ACCUMULATED DEPRECIATION ON FURNITURE," (418,290)", -   , -   ," (418,290)",,,,,
 Property  and equipments ,11210304,ACCUMULATED DEPRECIATION ON OFFICE EQUIPMENTS," (542,746)", -   ," 6,547 "," (549,293)",,,,,
 Property  and equipments ,11210305,ACCUMULATED DEPRECIATON ON COMPUTERS," (275,198)", -   , 460 ," (275,658)",,,,,
 Property  and equipments ,11210306,ACCUMULATED DEPRECIATION ON MACHINARY, 0 , -   , -   , 0 ,,,,,
 Loan to Relate Party ,11220101,LONG TERM INVESTMENT - GOODLIFE," 121,232 ", -   , -   ," 121,232 ",,,,,
 Loan to Relate Party ,11220102,LONG TERM INVESTMENT - FERGULF KUWAIT," 304,031 ", -   , -   ," 304,031 ",,,,,
 Loan to Relate Party ,11220103,LONG TERM INVESTMENT - BRAND AID," 141,473 ", -   , -   ," 141,473 ",,,,,
 Account payables and accruals ,22120101,SUPPLIERS," (75,237)"," 605,757 "," 637,135 "," (106,615)",,,,,
 Account payables and accruals ,22120103,SUPPLIERS A&P - BK POT, 0 , -   , -   , 0 ,,,,,
 Account payables and accruals ,22220019,PROVISION FOR OSD 2014 FWD," (12,123)", -   , -   ," (12,123)",,,,,
 Account payables and accruals ,22220034,PROVISION - REBATE 2015," 11,428 ", -   , -   ," 11,428 ",,,,,
 Account payables and accruals ,22220035,PROVISION - RENTAL 2015," (59,503)", -   , -   ," (59,503)",,,,,
 Account payables and accruals ,22220036,PROVISION - RENTAL 2018," (18,222)", -   , -   ," (18,222)",,,,,
 Account payables and accruals ,22220037,PROVISION - REBATE 2018," (2,672)", -   , -   ," (2,672)",,,,,
 Account payables and accruals ,22220038,PROVISION - REBATE 2019," (2,441)", -   , -   ," (2,441)",,,,,
 Account payables and accruals ,22220039,PROVISION - RENTAL 2019," (10,980)", -   , -   ," (10,980)",,,,,
 Employees end of service benefits ,22220101,PROVISIONS FOR ENDEMNETY," (788,484)", -   ," 8,772 "," (797,256)",,,,,
 Account payables and accruals ,22220102,PROVISIONS FOR LEAVE," (167,468)"," 2,858 "," 10,180 "," (174,790)",,,,,
 Account payables and accruals ,22220103,PROVISIONS FOR AIR TICKET," (174,783)"," 1,969 "," 4,219 "," (177,033)",,,,,
 Account payables and accruals ,22220228,PROVISION FOR MARKET SPENDS, (24), -   , -   , (24),,,,,
 Account payables and accruals ,22220229,SUPPLIER CLAIMS (DEBIT NOTES) - TRADE CLAIMS," 25,105 "," 19,813 "," 13,199 "," 31,719 ",,,,,
 Account payables and accruals ,22220230,PROVISION A&P 2020," (9,494)", -   , -   ," (9,494)",,,,,
 Account payables and accruals ,22220233,PROVISION FOR A&P 2021," (57,327)", -   , -   ," (57,327)",,,,,
 Account payables and accruals ,22220234,PROVISION FOR A&P 2022," (89,428)", -   , -   ," (89,428)",,,,,
 Account payables and accruals ,22220235,PROVISION FOR A&P 2023," (32,900)"," 2,014 ", -   ," (30,886)",,,,,
 Account payables and accruals ,22220236,KITCHEN TREASURE POOL A/C," 4,812 ", -   , 737 ," 4,075 ",,,,,
 Account payables and accruals ,22220237,PROVISION FOR A&P 2024," (110,000)"," 21,000 ", -   ," (89,000)",,,,,
 Account payables and accruals ,22220238,PROVISION FOR A&P 2024 - FSD FERRERO," (20,094)", -   ," 2,343 "," (22,437)",,,,,
 Statutory Reserve ,22220201,STATUTARY RESERVE," (781,106)", -   , -   ," (781,106)",,,,,
 General Reserve ,22220202,VOLUNTARY RESERVE," (626,134)", -   , -   ," (626,134)",,,,,
 Fair Value Reserve ,22220203,FAIR VALUE RESERVE," (49,031)", -   , -   ," (49,031)",,,,,
 Account payables and accruals ,22230101,PROVISION FOR EXPENSES," (109,077)", -   , -   ," (109,077)",,,,,
 Account payables and accruals ,22230104,ACCRUED INCOME," 20,830 "," 4,166 ", -   ," 24,996 ",,,,,
 Account payables and accruals ,22230105,PROVISION FOR EXPENSE 2020," (308,625)", -   , -   ," (308,625)",,,,,
 Account payables and accruals ,22230106,PROVISION FOR EXPENSE 2022," (43,793)", -   , -   ," (43,793)",,,,,
 Account payables and accruals ,22230107,PROVISION FOR EXPENSE 2023," (469,163)"," 74,721 "," 76,635 "," (471,076)",,,,,
 Share Capital ,33220101,SHARE CAPITAL," (1,000,000)", -   , -   ," (1,000,000)",,,,,
 Loan to Relate Party ,33220103,T I H PARTNERS CURRENT ACCOUNT," (150,696)", 7 ," 15,700 "," (166,389)",,,,,
 Retained earnings ,33330103,RETAINED EARNINGS," (674,131)", -   , -   ," (674,131)",,,,,
 Account payables and accruals ,99990101,SUSPENSE ACCOUNT (PAYMENT), 481 ," 2,473 "," 2,473 ", 481 ,,,,,
 Inventories ,99990103,SUSPENSE ACCOUNT (STOCK), -   , 1 , 1 , -   ,,,,,
 Control A/c ,99990104,CONTROL CUSTOMERS DR/CR," 61,678 "," 6,698 "," 13,374 "," 55,001 ",,,,,
 Account payables and accruals ,99990107,KFH CO-OPS COLLECTION, -   ," 6,747 ", -   ," 6,747 ",,,,,
 Account payables and accruals ,99990108,KFH CO-OPS COLLECTION SUSPENSE, 522 ," 141,270 "," 141,270 ", 522 ,,,,,
 Account payables and accruals ,99990109,KFH DEDUCTION, -   ," 6,747 "," 6,747 ", -   ,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
