SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
 -   ,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
